ID,Video Initial Max DL Rate(kbps),E2E RTT(ms),Average Rate of Playing phase (kbps),Initial Buffering Latency(ms),Stalling Ratio,VMOS,Video Total DL Rate(kbps),Stalling Length,Playing Length,Total time of Playing phase (kbps),Stalling times,video bitrate,Video Initial buffer download,SQuality,SLoading,Sstalling
3009182,14529,45,6129,1834,0.0,3.74,6073,0,30006,30006,0,2903,1534492,4.33,3.56,5.0
3009184,69449,65,3332,1050,0.0,3.98,3704,0,30006,30006,0,2934,1541563,4.33,4.08,5.0
3009214,48313,27,5952,715,0.0,4.08,6072,0,30010,30010,0,2903,1573692,4.33,4.33,5.0
3009217,51113,64,3307,1075,0.0,3.97,3645,0,30003,30003,0,2903,1547917,4.33,4.06,5.0
3009248,57013,64,6240,980,0.0,4.0,6460,0,30022,30022,0,2966,1634382,4.34,4.13,5.0
3009257,69676,53,5981,953,0.0,4.01,6176,0,30003,30003,0,2934,1636692,4.33,4.15,5.0
3009283,55556,96,3939,1721,0.0,3.78,3900,0,30003,30003,0,2966,1613382,4.34,3.63,5.0
3009288,29292,52,5947,1215,0.0,3.93,6085,0,30004,30004,0,2903,1600332,4.33,3.97,5.0
3009295,47141,31,5928,740,0.0,4.08,6111,0,30003,30003,0,2966,1584932,4.34,4.31,5.0
3009299,18078,50,6192,1719,0.0,3.78,6149,0,30009,30009,0,2903,1543192,4.33,3.63,5.0
3009326,41234,66,6161,1188,0.0,3.94,6132,0,30006,30006,0,2966,1610092,4.34,3.99,5.0
3009339,5709,49,6211,4711,0.0,2.9,5817,0,30008,30008,0,2966,1568144,4.34,2.19,5.0
3009348,70054,42,5833,816,0.0,4.05,6071,0,30002,30002,0,2966,1640932,4.34,4.25,5.0
3009351,56583,64,3168,1006,0.0,3.99,3580,0,30016,30016,0,2903,1632622,4.33,4.11,5.0
3009353,64750,52,5907,928,0.0,4.02,6107,0,30002,30002,0,2934,1549892,4.33,4.17,5.0
3009368,32501,100,6134,1851,0.0,3.74,6070,0,30014,30014,0,2934,1600782,4.33,3.55,5.0
3009381,43859,100,6630,1710,0.0,3.78,6554,0,30016,30016,0,2934,1549062,4.33,3.64,5.0
3009403,70891,26,5828,645,0.0,4.1,5969,0,30005,30005,0,2966,1695292,4.34,4.38,5.0
