ID,Video Initial Max DL Rate(kbps),E2E RTT(ms),Average Rate of Playing phase (kbps),Initial Buffering Latency(ms),Stalling Ratio,VMOS,Video Total DL Rate(kbps),Stalling Length,Playing Length,Total time of Playing phase (kbps),Stalling times,video bitrate,Video Initial buffer download,SQuality,SLoading,Sstalling
3490690,37020,35,5953,909,0.0,4.02,6055,0,30030,30030,0,2934,1559669,4.33,4.18,5.0
3490694,21328,61,5831,1495,0.0,3.84,5828,0,30009,30009,0,2934,1562150,4.33,3.78,5.0
3490712,71356,57,6029,1045,0.0,3.98,6416,0,30004,30004,0,2903,1628732,4.33,4.09,5.0
3490717,12363,32,5745,2315,0.0,3.6,5727,0,30008,30008,0,2966,1574426,4.34,3.28,5.0
3490767,80334,56,6597,995,0.0,3.99,7142,0,30003,30003,0,2903,1604885,4.33,4.12,5.0
3490776,26639,62,5938,1381,0.0,3.88,6085,0,30010,30010,0,2966,1563892,4.34,3.85,5.0
3490780,24365,67,5745,1381,0.0,3.88,5786,0,30009,30009,0,2934,1567892,4.33,3.85,5.0
3490794,44406,62,5908,1054,0.0,3.98,6096,0,30017,30017,0,2966,1580692,4.34,4.08,5.0
3490822,32379,26,6090,758,0.0,4.07,6115,0,30003,30003,0,2966,1597492,4.34,4.3,5.0
3490835,32491,64,5944,1240,0.0,3.92,6163,0,30002,30002,0,2903,1542892,4.33,3.95,5.0
3490848,43626,75,5647,1252,0.0,3.92,5927,0,30001,30001,0,2903,1551292,4.33,3.94,5.0
3490869,69621,25,6478,594,0.0,4.11,6534,0,30006,30006,0,2903,1554092,4.33,4.42,5.0
3490870,74773,56,6684,978,0.0,4.0,7166,0,30005,30005,0,2903,1582345,4.33,4.13,5.0
3490872,18026,59,5742,1549,0.0,3.83,5841,0,30004,30004,0,2966,1566592,4.34,3.74,5.0
3490882,20142,23,5841,1154,0.0,3.95,5970,0,30003,30003,0,2966,1565292,4.34,4.01,5.0
3490897,33492,22,5869,772,0.0,4.07,6039,0,30001,30001,0,2966,1590492,4.34,4.29,5.0
3490927,47725,52,6324,1009,0.0,3.99,6478,0,30010,30010,0,2934,1559612,4.33,4.11,5.0
3490940,44837,51,6419,1098,0.0,3.96,6532,0,30004,30004,0,2934,1670492,4.33,4.05,5.0
3490941,9953,78,5731,2772,0.0,3.46,5728,0,30005,30005,0,2903,1533092,4.33,3.03,5.0
3490979,57906,23,6055,603,0.0,4.11,6110,0,30003,30003,0,2903,1564589,4.33,4.42,5.0
3491011,37625,24,5889,762,0.0,4.06,6074,0,30004,30004,0,2903,1538692,4.33,4.29,5.0
3491040,73390,24,6249,593,0.0,4.11,6498,0,30005,30005,0,2903,1565292,4.33,4.42,5.0
3491090,38762,49,6271,918,0.0,4.02,6470,0,30010,30010,0,2934,1558252,4.33,4.18,5.0
3491093,27613,71,6179,1590,0.0,3.82,6304,0,30005,30005,0,2966,1569436,4.34,3.72,5.0
3491121,44800,25,6039,794,0.0,4.05,6112,0,30005,30005,0,2903,1576492,4.33,4.27,5.0
3491135,27648,61,6219,1600,0.0,3.82,6292,0,30007,30007,0,2966,1583836,4.34,3.71,5.0
3491131,22615,39,6218,1326,0.0,3.9,6321,0,30011,30011,0,2966,1568592,4.34,3.89,5.0
3491132,30464,25,6072,849,0.0,4.04,6072,0,30003,30003,0,2966,1649292,4.34,4.23,5.0
3491146,39101,60,6134,1305,0.0,3.9,6324,0,30006,30006,0,2903,1557918,4.33,3.9,5.0
3491140,23813,41,6473,1407,0.0,3.87,6439,0,30002,30002,0,2903,1533092,4.33,3.84,5.0
3491168,29074,66,6368,1804,0.0,3.75,6296,0,30002,30002,0,2903,1557918,4.33,3.58,5.0
3491172,20900,44,6193,1322,0.0,3.89,6318,0,30005,30005,0,2903,1534492,4.33,3.89,5.0
3491178,36664,24,5911,822,0.0,4.05,6095,0,30004,30004,0,2966,1625492,4.34,4.25,5.0
3491182,30042,53,6207,1224,0.0,3.93,6368,0,30007,30007,0,2934,1541392,4.33,3.96,5.0
3491185,36951,40,6252,1105,0.0,3.96,6351,0,30003,30003,0,2903,1534993,4.33,4.04,5.0
3491189,25896,51,5801,1304,0.0,3.9,5925,0,30005,30005,0,2966,1589992,4.34,3.91,5.0
3491190,17887,58,6208,2673,0.0,3.49,6099,0,30010,30010,0,2903,1539699,4.33,3.08,5.0
3491191,37540,22,5853,810,0.0,4.05,6013,0,30003,30003,0,2966,1568092,4.34,4.26,5.0
3491199,77680,25,6048,624,0.0,4.11,6243,0,30003,30003,0,2903,1750092,4.33,4.4,5.0
3491202,26986,37,6208,1198,0.0,3.93,6329,0,30005,30005,0,2903,1572292,4.33,3.98,5.0
3491203,13015,69,3325,2501,0.081,2.74,3466,2250,27759,30009,1,2903,1537292,4.33,3.17,3.38
3491208,48879,56,6063,1055,0.0,3.97,6348,0,30010,30010,0,2903,1557165,4.33,4.08,5.0
3491214,30610,61,6198,1386,0.0,3.88,6320,0,30010,30010,0,2966,1616956,4.34,3.85,5.0
3491220,23168,21,5845,986,0.0,4.0,6000,0,30004,30004,0,2966,1576492,4.34,4.13,5.0
3491232,33031,63,5988,1258,0.0,3.91,6199,0,30002,30002,0,2903,1556892,4.33,3.94,5.0
3491260,24528,45,5644,1239,0.0,3.92,5781,0,30002,30002,0,2934,1548392,4.33,3.95,5.0
3491263,42224,28,5922,843,0.0,4.04,6079,0,30003,30003,0,2966,1563932,4.34,4.23,5.0
